runname,sfile,NN,PART,mx,my,Inspin,Inboot,SIAe,SSAe,PPQ,ecalvK,sshfi,calvstr
run1,run.slurm,96,t1standard,1119,997,$CENTER1/maps/Ant_10km_1yr_fk.nc,$CENTER1/maps/PISM_1km_v3.nc,,,,,,"-calving float_kill,eigen_calving,thickness_calving"
run2,run.slurm,96,t1standard,1119,997,$CENTER1/maps/Ant_10km_1yr_fk.nc,$CENTER1/maps/PISM_1km_v3.nc,,,,,,
run3,run_regrid.slurm,96,t1standard,1119,997,$CENTER1/maps/end_evol-5km_Ant_spinup_W65.nc,$CENTER1/maps/PISM_1km_v3.nc,,,,,,
run4,run.slurm,48,t1small,560,499,$CENTER1/maps/Ant_10km_1yr_fk.nc,$CENTER1/maps/PISM_1km_v3.nc,1,,,,,"-calving float_kill,eigen_calving,thickness_calving"
run5,run.slurm,48,t1small,560,499,$CENTER1/maps/Ant_10km_1yr_fk.nc,$CENTER1/maps/PISM_1km_v3.nc,2,,,,,"-calving float_kill,eigen_calving,thickness_calving"
run6,run.slurm,48,t1small,560,499,$CENTER1/maps/Ant_10km_1yr_fk.nc,$CENTER1/maps/PISM_1km_v3.nc,3,,,,,"-calving float_kill,eigen_calving,thickness_calving"
run7,run.slurm,48,t1small,560,499,$CENTER1/maps/Ant_10km_1yr_fk.nc,$CENTER1/maps/PISM_1km_v3.nc,1,,,,,
run8,run.slurm,48,t1small,560,499,$CENTER1/maps/Ant_10km_1yr_fk.nc,$CENTER1/maps/PISM_1km_v3.nc,2,,,,,
run9,run.slurm,48,t1small,560,499,$CENTER1/maps/Ant_10km_1yr_fk.nc,$CENTER1/maps/PISM_1km_v3.nc,3,,,,,
run10,run.slurm,48,t1small,560,499,$CENTER1/maps/Ant_10km_1yr_fk.nc,$CENTER1/maps/PISM_1km_v3.nc,,0.3,,,,"-calving float_kill,eigen_calving,thickness_calving"
run11,run.slurm,48,t1small,560,499,$CENTER1/maps/Ant_10km_1yr_fk.nc,$CENTER1/maps/PISM_1km_v3.nc,,0.65,,,,"-calving float_kill,eigen_calving,thickness_calving"
run12,run.slurm,48,t1small,560,499,$CENTER1/maps/Ant_10km_1yr_fk.nc,$CENTER1/maps/PISM_1km_v3.nc,,1,,,,"-calving float_kill,eigen_calving,thickness_calving"
run13,run.slurm,48,t1small,560,499,$CENTER1/maps/Ant_10km_1yr_fk.nc,$CENTER1/maps/PISM_1km_v3.nc,,0.3,,,,
run14,run.slurm,48,t1small,560,499,$CENTER1/maps/Ant_10km_1yr_fk.nc,$CENTER1/maps/PISM_1km_v3.nc,,0.65,,,,
run15,run.slurm,48,t1small,560,499,$CENTER1/maps/Ant_10km_1yr_fk.nc,$CENTER1/maps/PISM_1km_v3.nc,,1,,,,
run16,run.slurm,48,t1small,560,499,$CENTER1/maps/Ant_10km_1yr_fk.nc,$CENTER1/maps/PISM_1km_v3.nc,,,0,,,"-calving float_kill,eigen_calving,thickness_calving"
run17,run.slurm,48,t1small,560,499,$CENTER1/maps/Ant_10km_1yr_fk.nc,$CENTER1/maps/PISM_1km_v3.nc,,,0.25,,,"-calving float_kill,eigen_calving,thickness_calving"
